City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
7,Sur,OM,75.72,clear sky,22.5667,59.5289,Sur Plaza Hotel
12,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Harindanga,IN,75.18,few clouds,22.0383,88.3214,Hazi Home
19,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
20,Cabo San Lucas,MX,80.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
25,Rikitea,PF,79.77,broken clouds,-23.1203,-134.9692,People ThankYou
27,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
30,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
34,Emerald,AU,80.74,clear sky,-23.5333,148.1667,The Irish Village
36,Luanda,AO,81.81,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
39,Lazaro Cardenas,MX,84.09,clear sky,17.9583,-102.2,quinta antigua
48,Awbari,LY,77.68,clear sky,26.5921,12.7805,فندق أوباري
50,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
51,Jacareacanga,BR,77.72,light rain,-6.2222,-57.7528,Casa do Ian😎
59,Cap Malheureux,MU,81.09,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
60,Mar Del Plata,AR,84.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
64,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
65,Cayenne,GF,82.44,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
67,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
71,Atuona,PF,77.54,light rain,-9.8,-139.0333,Villa Enata
72,Matara,LK,77.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
77,Moerai,PF,80.46,light rain,-22.4333,-151.3333,Le Manotel
85,Tecoanapa,MX,81.99,few clouds,16.5167,-98.75,Hotel Manglares
86,Bandarbeyla,SO,77.22,scattered clouds,9.4942,50.8122,JABIR HOTEL
91,Caravelas,BR,86.2,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
95,Loiza,PR,85.21,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
99,Lubango,AO,75.06,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
100,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
102,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
104,Butaritari,KI,80.71,light rain,3.0707,172.7902,Isles Sunset Lodge
106,Montevideo,UY,88.83,clear sky,-34.8335,-56.1674,Besares Social Club
121,Belmonte,BR,86.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
122,Hambantota,LK,79.11,broken clouds,6.1241,81.1185,Bungalow 63
123,Pimenta Bueno,BR,80.74,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
130,Boyolangu,ID,76.8,overcast clouds,-8.1181,111.8935,Yos ega cv
137,Moron,AR,76.89,clear sky,-34.6534,-58.6198,Hotel Morón
140,San Policarpo,PH,79.18,overcast clouds,12.1791,125.5072,Agapita M. Nicart
143,Samarai,PG,80.35,broken clouds,-10.6167,150.6667,Nuli Sapi
145,El Silencio,VE,78.84,scattered clouds,10.5,-66.9167,Hotel Alex
146,San Patricio,US,78.08,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
147,Namatanai,PG,79.63,light rain,-3.6667,152.4333,Seagulls Inn Namatani
153,Puerto Plata,DO,84.11,broken clouds,19.7934,-70.6884,Be Live Collection Marien
154,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
155,Kloulklubed,PW,81.39,moderate rain,7.0419,134.2556,Storyboard Beach Resort
160,Koungou,YT,80.31,light rain,-12.7336,45.2042,Villa Netibor
162,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
164,Hithadhoo,MV,83.25,scattered clouds,-0.6,73.0833,Scoop Guest House
165,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
