City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pacific Grove,US,2022-03-02 14:50:30,36.6177,-121.9166,52.56,67,0,3.0
1,Rikitea,PF,2022-03-02 14:41:48,-23.1203,-134.9692,79.57,68,70,14.7
2,Orlik,RU,2022-03-02 14:50:31,52.5178,99.825,6.03,96,100,1.83
3,Avera,US,2022-03-02 14:50:31,33.194,-82.5271,63.72,44,0,4.83
4,Avarua,CK,2022-03-02 14:50:13,-21.2078,-159.775,77.05,94,40,2.3
5,Hithadhoo,MV,2022-03-02 14:50:32,-0.6,73.0833,84.85,67,100,13.42
6,Cherskiy,RU,2022-03-02 14:44:57,68.75,161.3,-22.95,100,71,2.62
7,Luderitz,NA,2022-03-02 14:50:32,-26.6481,15.1594,71.46,70,2,16.58
8,Cocoa Beach,US,2022-03-02 14:49:45,28.32,-80.6076,72.09,74,0,10.36
9,Kapaa,US,2022-03-02 14:43:35,22.0752,-159.319,69.78,78,20,6.91
10,Hasaki,JP,2022-03-02 14:47:34,35.7333,140.8333,48.6,84,100,18.03
11,La Orilla,MX,2022-03-02 14:50:33,17.9833,-102.2333,77.29,50,0,3.13
12,Didao,CN,2022-03-02 14:50:34,45.3667,130.8,20.41,90,100,9.19
13,Nikolskoye,RU,2022-03-02 14:50:34,59.7035,30.7861,36.88,93,24,4.99
14,Punta Arenas,CL,2022-03-02 14:49:39,-53.15,-70.9167,42.12,86,100,15.19
15,Vaini,TO,2022-03-02 14:50:34,-21.2,-175.2,75.36,94,75,2.3
16,Samfya,ZM,2022-03-02 14:50:35,-11.3649,29.5565,71.28,85,96,1.79
17,Akdepe,TM,2022-03-02 14:50:35,42.0551,59.3788,53.69,55,94,10.22
18,Leningradskiy,RU,2022-03-02 14:50:36,69.3833,178.4167,3.04,94,100,6.17
19,Busselton,AU,2022-03-02 14:50:36,-33.65,115.3333,53.1,63,51,8.57
20,Cabinda,AO,2022-03-02 14:50:36,-5.55,12.2,87.94,66,20,6.91
21,Rio Muerto,MX,2022-03-02 14:50:37,27.4167,-110.2333,68.11,21,98,1.9
22,Hermanus,ZA,2022-03-02 14:50:37,-34.4187,19.2345,77.9,60,0,18.99
23,Formosa Do Rio Preto,BR,2022-03-02 14:50:38,-11.0483,-45.1931,87.06,46,99,8.79
24,Senanga,ZM,2022-03-02 14:50:38,-16.1167,23.2667,81.36,57,73,3.02
25,Fortuna,US,2022-03-02 14:50:38,40.5982,-124.1573,52.93,93,75,10.36
26,Ilulissat,GL,2022-03-02 14:50:39,69.2167,-51.1,31.35,65,100,12.33
27,Kloulklubed,PW,2022-03-02 14:50:39,7.0419,134.2556,83.19,76,24,20.29
28,Castro,BR,2022-03-02 14:49:57,-24.7911,-50.0119,68.94,89,100,4.61
29,Taoudenni,ML,2022-03-02 14:47:26,22.6783,-3.9836,84.16,16,7,17.96
30,Qaanaaq,GL,2022-03-02 14:50:40,77.484,-69.3632,1.6,58,11,8.5
31,Baruun-Urt,MN,2022-03-02 14:50:40,46.6806,113.2792,11.46,84,80,5.95
32,Carauari,BR,2022-03-02 14:50:40,-4.8828,-66.8958,72.79,97,100,2.93
33,Kaitangata,NZ,2022-03-02 14:50:41,-46.2817,169.8464,49.93,85,31,3.11
34,Sinnamary,GF,2022-03-02 14:50:41,5.3833,-52.95,79.32,87,97,8.75
35,Mattru,SL,2022-03-02 14:51:56,7.6244,-11.8332,96.15,37,48,2.82
36,Guiberoua,CI,2022-03-02 14:51:57,6.2392,-6.1727,91.13,44,88,2.86
37,Barrow,US,2022-03-02 14:51:57,71.2906,-156.7887,14.02,85,100,4.61
38,Chimore,BO,2022-03-02 14:51:58,-16.9833,-65.1333,88.23,62,66,2.53
39,Roma,US,2022-03-02 14:51:58,43.2128,-75.4557,30.43,75,100,1.01
40,Port Elizabeth,ZA,2022-03-02 14:48:19,-33.918,25.5701,80.1,69,0,21.85
41,Ponta Do Sol,PT,2022-03-02 14:51:59,32.6667,-17.1,70.0,75,81,1.41
42,Khatanga,RU,2022-03-02 14:51:59,71.9667,102.5,0.59,85,100,9.4
43,Yellowknife,CA,2022-03-02 14:51:38,62.456,-114.3525,-28.44,87,0,5.75
44,Sabang,ID,2022-03-02 14:52:00,5.8933,95.3214,82.49,73,100,5.26
45,Ushuaia,AR,2022-03-02 14:52:00,-54.8,-68.3,46.06,81,40,3.44
46,Roxana,CR,2022-03-02 14:53:00,10.2753,-83.7513,83.03,64,37,2.57
47,Atuona,PF,2022-03-02 14:53:01,-9.8,-139.0333,78.55,75,37,20.02
48,Kodiak,US,2022-03-02 14:53:01,57.79,-152.4072,34.47,81,100,11.05
49,Kenmare,IE,2022-03-02 14:53:02,51.8833,-9.5833,52.03,89,100,5.99
50,Bibiani,GH,2022-03-02 14:53:02,6.4635,-2.3194,90.41,46,99,1.1
51,Sao Joao Da Barra,BR,2022-03-02 14:53:03,-21.6403,-41.0511,89.69,69,5,9.71
52,Celestun,MX,2022-03-02 14:53:03,20.8667,-90.4,74.16,65,52,7.63
53,Souillac,MU,2022-03-02 14:53:03,-20.5167,57.5167,82.78,78,40,8.05
54,Bredasdorp,ZA,2022-03-02 14:53:04,-34.5322,20.0403,79.92,47,59,11.5
55,Poum,NC,2022-03-02 14:53:04,-20.2333,164.0167,81.97,78,100,12.88
56,Chitral,PK,2022-03-02 14:53:05,35.8462,71.7858,37.26,65,61,5.82
57,Victoria,HK,2022-03-02 14:44:34,22.2855,114.1577,68.18,87,93,25.01
58,Severo-Kurilsk,RU,2022-03-02 14:53:05,50.6789,156.125,23.41,62,98,25.75
59,Tazovskiy,RU,2022-03-02 14:53:06,67.4667,78.7,-18.9,100,70,8.23
60,Padang,ID,2022-03-02 14:53:06,-0.9492,100.3543,78.85,85,100,3.27
61,Berlevag,NO,2022-03-02 14:53:06,70.8578,29.0864,33.75,86,75,16.11
62,Sitka,US,2022-03-02 14:48:42,57.0531,-135.33,40.89,87,100,6.91
63,Kinsale,IE,2022-03-02 14:53:07,51.7075,-8.5306,49.37,87,75,13.8
64,Maumere,ID,2022-03-02 14:53:07,-8.6199,122.2111,79.81,84,83,10.27
65,Bluff,NZ,2022-03-02 14:43:33,-46.6,168.3333,44.8,85,49,5.75
66,Mount Darwin,ZW,2022-03-02 14:53:08,-16.7725,31.5838,78.82,64,52,3.76
67,Mar Del Plata,AR,2022-03-02 14:53:08,-38.0023,-57.5575,79.09,54,0,25.32
68,Mareeba,AU,2022-03-02 14:53:09,-17.0,145.4333,74.12,90,83,1.57
69,Saint-Philippe,RE,2022-03-02 14:53:09,-21.3585,55.7679,81.99,86,96,5.99
70,Hilo,US,2022-03-02 14:51:38,19.7297,-155.09,71.33,78,100,4.61
71,Tiksi,RU,2022-03-02 14:47:32,71.6872,128.8694,-22.22,100,94,2.39
72,Matamoros,MX,2022-03-02 14:53:10,25.5333,-103.25,60.6,38,100,0.92
73,Varhaug,NO,2022-03-02 14:53:10,58.6147,5.6457,47.75,84,67,10.25
74,Husavik,IS,2022-03-02 14:48:54,66.0449,-17.3389,40.91,82,100,25.52
