City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,10.42,79,100,6.91,overcast clouds
1,Kapaa,US,22.0752,-159.319,64.72,59,0,9.22,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,50.11,71,75,25.32,light intensity shower rain
3,Elko,US,41.0002,-115.5012,37.06,79,100,3.0,overcast clouds
4,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,58,0,10.36,clear sky
5,Mataura,NZ,-46.1927,168.8643,53.47,99,91,2.26,overcast clouds
6,Victoria,HK,22.2855,114.1577,71.1,89,6,3.0,clear sky
7,Sur,OM,22.5667,59.5289,75.72,64,0,12.26,clear sky
8,Busselton,AU,-33.65,115.3333,62.04,81,4,14.16,clear sky
9,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,56,75,25.32,broken clouds
10,Lata,PT,40.1629,-8.3327,58.71,54,100,11.1,overcast clouds
11,Skuodas,LT,56.2667,21.5333,33.66,69,5,7.7,clear sky
12,Puerto Ayora,EC,-0.7393,-90.3518,80.56,82,92,5.99,overcast clouds
13,Zyryanovsk,KZ,49.7386,84.2719,2.48,94,73,1.99,broken clouds
14,Beloha,MG,-25.1667,45.05,76.39,87,21,16.31,few clouds
15,Albany,US,42.6001,-73.9662,28.81,47,28,4.0,scattered clouds
16,Harindanga,IN,22.0383,88.3214,75.18,49,23,4.85,few clouds
17,Port Lincoln,AU,-34.7333,135.8667,64.13,84,56,16.84,broken clouds
18,Green River,US,41.5286,-109.4662,46.15,47,99,6.33,overcast clouds
19,Port Hedland,AU,-20.3167,118.5667,82.45,83,1,6.91,clear sky
20,Cabo San Lucas,MX,22.8909,-109.9124,80.51,42,0,3.44,clear sky
21,Upernavik,GL,72.7868,-56.1549,-4.18,98,72,6.38,broken clouds
22,Goderich,CA,43.7501,-81.7165,30.9,63,83,11.5,broken clouds
23,Bethel,US,41.3712,-73.414,33.03,46,0,5.75,clear sky
24,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,68,40,19.57,scattered clouds
25,Rikitea,PF,-23.1203,-134.9692,79.77,69,82,18.79,broken clouds
26,East London,ZA,-33.0153,27.9116,72.54,78,0,8.05,clear sky
27,Mahebourg,MU,-20.4081,57.7,80.89,89,75,19.57,broken clouds
28,Saint-Pierre,RE,-21.3393,55.4781,80.28,83,64,2.3,broken clouds
29,Rudbar,AF,30.15,62.6,77.29,16,91,13.13,overcast clouds
30,Avarua,CK,-21.2078,-159.775,77.05,88,40,4.61,scattered clouds
31,Bluff,NZ,-46.6,168.3333,53.8,94,100,8.03,overcast clouds
32,Svetlyy,RU,54.675,20.1347,35.65,71,65,10.33,broken clouds
33,Bogorodskoye,RU,56.55,37.8833,30.25,89,100,9.55,overcast clouds
34,Emerald,AU,-23.5333,148.1667,80.74,61,4,6.91,clear sky
35,Yendi,GH,9.4427,-0.0099,98.89,25,68,7.25,broken clouds
36,Luanda,AO,-8.8368,13.2343,81.81,79,68,13.6,broken clouds
37,Nikolskoye,RU,59.7035,30.7861,30.09,95,100,5.37,overcast clouds
38,Barrow,US,71.2906,-156.7887,3.22,85,100,5.75,overcast clouds
39,Lazaro Cardenas,MX,17.9583,-102.2,84.09,41,0,4.72,clear sky
40,Viedma,AR,-40.8135,-62.9967,72.59,26,81,10.11,broken clouds
41,Lichinga,MZ,-13.3128,35.2406,64.0,95,67,3.74,broken clouds
42,Talnakh,RU,69.4865,88.3972,-22.38,94,9,2.24,clear sky
43,Clones,IE,54.1833,-7.2333,46.42,75,40,6.2,scattered clouds
44,Pringsewu,ID,-5.3582,104.9744,73.51,96,99,3.4,overcast clouds
45,Khatanga,RU,71.9667,102.5,-32.55,100,81,5.5,broken clouds
46,Faya,SA,18.3851,42.4509,66.31,69,64,6.71,broken clouds
47,Noumea,NC,-22.2763,166.4572,69.78,82,17,4.05,few clouds
48,Awbari,LY,26.5921,12.7805,77.68,19,1,11.79,clear sky
49,Chongwe,ZM,-15.3292,28.682,68.31,92,42,3.74,light rain
50,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,19.57,light rain
51,Jacareacanga,BR,-6.2222,-57.7528,77.72,88,99,3.13,light rain
52,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,20,9.22,few clouds
53,Ilulissat,GL,69.2167,-51.1,23.02,46,75,10.36,broken clouds
54,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,11.5,light intensity drizzle
